非集成业务场景清单,,,,,,,,,,,,,,,,,
序号,一级目录,二级目录,三级目录编码,三级目录,业务场景编码,明细业务场景,涉及借方科目,涉及贷方科目,业务场景说明,"对应表单名称
（主表单）","对应表单名称
（业务信息表）",支持性附件名称,表单设计单位,表单设计人,场景状态,备注,
48,采购至应付,费用报销,A1_03_0001,费用报销,A02039,结算公众责任保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的公众责任保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,公众责任保险费结算汇总表,,成都中心,谢菊,正常,,
49,采购至应付,费用报销,A1_03_0001,费用报销,A02040,结算仓储保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与仓储保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,仓储保险费结算汇总表,,成都中心,谢菊,正常,,
50,采购至应付,费用报销,A1_03_0001,费用报销,A02041,结算关税保证保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与关税保证保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,关税保证保险费结算汇总表,,成都中心,谢菊,正常,,
51,采购至应付,费用报销,A1_03_0001,费用报销,A02042,结算首台套保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与首台（套）重大技术装备保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,首台套保险费结算汇总表,,成都中心,谢菊,正常,,
52,采购至应付,费用报销,A1_03_0001,费用报销,A02043,结算团体人身意外伤害保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与团体人身意外伤害保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,团体人身意外伤害保险费结算汇总表,,成都中心,谢菊,正常,,
53,采购至应付,费用报销,A1_03_0001,费用报销,A02044,结算食品安全责任保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与食品安全责任保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,食品安全责任保险费结算汇总表,,成都中心,谢菊,正常,,
54,采购至应付,费用报销,A1_03_0001,费用报销,A02045,结算铁路车辆第三者责任保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与铁路车辆第三者责任险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,铁路车辆第三者责任险费结算汇总表,,成都中心,谢菊,正常,,
55,采购至应付,费用报销,A1_03_0001,费用报销,A02046,结算特种设备检验责任保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与特种设备检验责任险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,特种设备检验责任险费结算汇总表,,成都中心,谢菊,正常,,
56,采购至应付,费用报销,A1_03_0001,费用报销,A02047,结算国内水路货物运输预约保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与国内水路货物运输预约保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,国内水路货物运输预约保险费结算汇总表,,成都中心,谢菊,正常,,
57,采购至应付,费用报销,A1_03_0001,费用报销,A02048,结算货物运输预约保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与货物运输预约保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,货物运输预约保险费结算汇总表,,成都中心,谢菊,正常,,
58,采购至应付,费用报销,A1_03_0001,费用报销,A02049,结算存款保险保费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与存款保险保费相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,存款保险保费结算汇总表,,成都中心,谢菊,正常,,
59,采购至应付,费用报销,A1_03_0001,费用报销,A02374,结算破坏和恐怖主义保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与破坏和恐怖主义保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,破坏和恐怖主义保险费结算汇总表,,成都中心,谢菊,正常,,
60,采购至应付,费用报销,A1_03_0001,费用报销,A02375,结算其他商业财产保险费,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与其他商业财产保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,其他商业财产保险费结算汇总表,,成都中心,谢菊,正常,,
61,采购至应付,费用报销,A1_03_0001,费用报销,A02376,结算商业人身险,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与商业人身险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,商业人身保险费结算汇总表,,成都中心,谢菊,正常,,
62,采购至应付,费用报销,A1_03_0001,费用报销,A02377,结算其他保险,"5041000000财产保险费
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2241008000其他应付款-应付财产险",是指企业各部门日常发生的与其他保险相关费用，通过填写费用报销单，以立即支付或挂账的方式结算,费用报销单,其他保险费结算汇总表,,成都中心,谢菊,正常,,
63,采购至应付,费用报销,A1_03_0001,费用报销,A02050,报销保险理赔款,"2241009000其他应付款-保险理赔款
2221001003应交税费-应交税金-应交增值税-进项税额-进项税额
2228001004应交境外税金-应交增值税-进项税额","2221001009应交税费-应交税金-应交增值税-进项税额转出-集体福利、个人消费
2221001995应交税费-应交税金-应交增值税-进项税额转出-其他
2202001000应付账款-应付账款
2221001080应交税费-应交税金-个人所得税
2241下所有明细科目
1012011000其他货币资金-加油（气）站资金
1013001000内部存款-内部结算存款
2228001002应交境外税金-应交增值税-销项税额
2228011001应交境外税金-代扣代缴税-代扣代缴增值税
2228011002应交境外税金-代扣代缴税-代扣企业所得税
2228011998应交境外税金-代扣代缴税-其他
2228023000应交境外税金-预扣税",是指企业各部门日常发生的保险理赔款，通过填写费用报销单，以立即支付或挂账的方式报销,费用报销单,报销保险理赔款结算汇总表,,成都中心,谢菊,正常,,
